"word";"freq"
"light";"light";4513
"object";"object";2387
"sky";"sky";2115
"bright";"bright";1626
"move";"move";1569
"shape";"shape";1192
"orang";"orang";996
"white";"white";944
"red";"red";902
"saw";"saw";834
"ufo";"ufo";798
"seen";"seen";721
"craft";"craft";681
"fli";"fli";668
"hover";"hover";651
"like";"like";634
"two";"two";569
"larg";"larg";560
"look";"look";556
"sight";"sight";547
"night";"night";531
"star";"star";492
"flash";"flash";486
"one";"one";453
"fast";"fast";426
"triangl";"triangl";418
"across";"across";415
"green";"green";410
"speed";"speed";402
"appear";"appear";401
"blue";"blue";395
"north";"north";384
"west";"west";383
"travel";"travel";383
"ball";"ball";383
"format";"format";370
"high";"high";368
"note";"note";359
"disappear";"disappear";359
"south";"south";356
"color";"color";354
"nuforc";"nuforc";349
"east";"east";344
"glow";"glow";340
"slowli";"slowli";339
"firebal";"firebal";337
"three";"three";313
"orb";"orb";306
"sound";"sound";305
"sphere";"sphere";294
"triangular";"triangular";293
"observ";"observ";289
"wit";"wit";287
"chang";"chang";279
"direct";"direct";274
"around";"around";274
"strang";"strang";272
"low";"low";269
"just";"just";268
"near";"near";268
"round";"round";255
"minut";"minut";252
"silent";"silent";252
"small";"small";246
"black";"black";233
"time";"time";233
"see";"see";229
"circl";"circl";210
"slow";"slow";204
"cloud";"cloud";204
"head";"head";204
"report";"report";203
"circular";"circular";201
"second";"second";199
"turn";"turn";196
"spot";"spot";189
"area";"area";188
"notic";"notic";185
"oval";"oval";182
"drive";"drive";182
"back";"back";178
"clear";"clear";175
"silver";"silver";167
"went";"went";167
"away";"away";167
"stop";"stop";166
"yellow";"yellow";166
"hous";"hous";165
"possibl";"possibl";164
"aircraft";"aircraft";156
"toward";"toward";154
"follow";"follow";154
"come";"come";153
"disk";"disk";152
"stationari";"stationari";149
"huge";"huge";148
"line";"line";146
"blink";"blink";144
"home";"home";142
"ground";"ground";140
"left";"left";139
"amp";"amp";139
"horizon";"horizon";138
"plane";"plane";138
"dark";"dark";138
"flew";"flew";136
"right";"right";135
"four";"four";135
"side";"side";134
"outsid";"outsid";134
"altitud";"altitud";134
"saucer";"saucer";133
"float";"float";131
"close";"close";131
"tree";"tree";130
"nois";"nois";129
"size";"size";129
"friend";"friend";128
"seem";"seem";125
"sever";"sever";123
"first";"first";122
"watch";"watch";121
"hour";"hour";118
"feet";"feet";118
"mile";"mile";118
"moon";"moon";118
"fire";"fire";116
"big";"big";114
"jet";"jet";113
"lake";"lake";113
"came";"came";112
"streak";"streak";112
"fade";"fade";112
"made";"made";112
"straight";"straight";110
"quick";"quick";110
"trail";"trail";110
"shoot";"shoot";108
"cigar";"cigar";108
"window";"window";107
"vanish";"vanish";106
"disc";"disc";106
"pass";"pass";105
"overhead";"overhead";104
"space";"space";103
"sudden";"sudden";103
"car";"car";102
"differ";"differ";102
"min";"min";102
"extrem";"extrem";101
"air";"air";101
"long";"long";100
"fall";"fall";100
"day";"day";100
"front";"front";98
"pattern";"pattern";97
"rapid";"rapid";97
"point";"point";96
"walk";"walk";96
"metal";"metal";94
"behind";"behind";93
"new";"new";92
"hoax";"hoax";91
"make";"make";91
"approx";"approx";89
"dim";"dim";89
"thought";"thought";89
"someth";"someth";88
"mountain";"mountain";88
"beach";"beach";87
"citi";"citi";87
"rate";"rate";85
"diamond";"diamond";83
"even";"even";83
"counti";"counti";83
"beam";"beam";82
"took";"took";82
"multipl";"multipl";82
"degre";"degre";81
"daylight";"daylight";79
"last";"last";78
"form";"form";78
"road";"road";78
"tail";"tail";77
"view";"view";77
"mani";"mani";76
"smaller";"smaller";76
"western";"western";75
"top";"top";74
"year";"year";73
"approxim";"approxim";72
"wife";"wife";71
"park";"park";70
"photo";"photo";70
"center";"center";70
"distanc";"distanc";69
"sit";"sit";69
"pictur";"pictur";68
"bottom";"bottom";68
"eastern";"eastern";67
"rotat";"rotat";67
"take";"take";67
"way";"way";67
"thing";"thing";67
"meteor";"meteor";67
"amber";"amber";66
"morn";"morn";66
"yard";"yard";65
"shot";"shot";65
"highway";"highway";65
"obj";"obj";65
"venus";"venus";65
"lit";"lit";64
"field";"field";64
"start";"start";63
"brilliant";"brilliant";63
"pulsat";"pulsat";63
"airplan";"airplan";63
"unusu";"unusu";63
"movement";"movement";62
"cross";"cross";62
"helicopt";"helicopt";62
"man";"man";62
"starlik";"starlik";61
"dot";"dot";60
"ocean";"ocean";60
"juli";"juli";60
"got";"got";60
"almost";"almost";60
"visibl";"visibl";59
"rectangular";"rectangular";59
"work";"work";59
"san";"san";59
"eye";"eye";59
"emit";"emit";59
"satellit";"satellit";58
"ship";"ship";57
"reddish";"reddish";57
"drop";"drop";57
"singl";"singl";57
"video";"video";56
"earli";"earli";56
"land";"land";56
"dissapear";"dissapear";56
"puls";"puls";56
"sun";"sun";56
"southern";"southern";56
"later";"later";55
"togeth";"togeth";55
"flight";"flight";54
"california";"california";54
"cylind";"cylind";53
"five";"five";53
"chase";"chase";53
"anoth";"anoth";53
"errat";"errat";52
"peopl";"peopl";52
"northern";"northern";52
"washington";"washington";52
"get";"get";52
"still";"still";51
"heard";"heard";51
"descend";"descend";50
"texa";"texa";50
"group";"group";50
"unknown";"unknown";50
"husband";"husband";50
"reflect";"reflect";50
"horizont";"horizont";49
"odd";"odd";49
"florida";"florida";49
"strobe";"strobe";49
"ohio";"ohio";49
"angl";"angl";48
"locat";"locat";48
"know";"know";48
"short";"short";47
"leav";"leav";47
"row";"row";47
"middl";"middl";47
"never";"never";47
"southeast";"southeast";47
"shini";"shini";46
"live";"live";46
"solid";"solid";46
"end";"end";46
"grey";"grey";46
"illumin";"illumin";45
"flame";"flame";45
"southwest";"southwest";45
"upward";"upward";44
"flicker";"flicker";44
"stay";"stay";44
"path";"path";44
"northwest";"northwest";44
"gone";"gone";44
"zigzag";"zigzag";44
"hill";"hill";44
"vertic";"vertic";44
"littl";"littl";43
"along";"along";43
"woman";"woman";43
